keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
online grocery shopping consumer behavior,90,3,,1,https://www.mintel.com/insights/retail/consumer-trends-in-online-grocery-retail/,31,True,True,False
beverage packaging trends,80,2,,1,https://store.mintel.com/report/us-beverage-packaging-trends-market-report,30,True,True,False
beauty packaging trends,80,3,190,1,https://www.mintel.com/insights/packaging/the-future-of-beauty-packaging/,28,True,True,False
online shopping behaviour,80,31,336,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,27,True,True,False
financial services marketing trends,200,4,161,2,https://www.mintel.com/insights/financial-services/financial-services-trends/,27,True,True,False
non-alcoholic beverages market,200,33,,1,https://www.mintel.com/insights/food-and-drink/non-alcoholic-beverage-trends-in-the-us/,26,True,True,False
vegan food trends,70,21,190,1,https://www.mintel.com/insights/food-and-drink/emerging-trends-in-the-plant-based-industry/,26,True,True,False
gen z purchasing behavior,70,36,190,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,26,True,True,False
consumer health trends,200,33,469,2,https://www.mintel.com/insights/consumer-research/health-conscious-consumer-trends-drive-cpg-market-innovation/,26,True,True,False
back to school shopping trends,150,3,,2,https://store.mintel.com/report/us-back-to-school-shopping-market-report,26,True,True,False
plant-based food trends,200,0,76,3,https://www.mintel.com/Spotlight/Food,25,True,False,False
market intelligence agencies,70,16,900,1,https://www.mintel.com/,24,True,True,False
juice trends,150,2,149,1,https://store.mintel.com/report/the-future-of-juice-and-juice-drinks,23,True,True,False
marketing intelligence database,150,2,,3,https://www.mintel.com/,23,True,True,False
automotive market intelligence,200,9,,3,https://store.mintel.com/industries/automotive,23,True,True,False
cosmetic packaging trends,200,11,121,1,https://www.mintel.com/insights/packaging/the-future-of-beauty-packaging/,22,True,True,False
color cosmetics market,150,3,,2,https://store.mintel.com/report/us-color-cosmetics-market-report-2024,22,True,True,False
baking mixes market,100,4,,2,https://store.mintel.com/report/us-baking-and-mixes-market-report,22,True,True,False
gen z buying behavior,150,36,154,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,21,True,True,False
market intelligence agency,150,54,398,1,https://www.mintel.com/,21,True,True,False
consumer trends 2021,60,0,,1,https://www.mintel.com/press-centre/mintel-announces-global-consumer-trends-for-2021/,21,True,True,False
define syndicated research,150,0,,4,https://store.mintel.com/syndicated-research,20,True,False,False
protein market,90,30,68,1,https://www.mintel.com/insights/food-and-drink/from-steaks-to-shakes-understanding-the-us-protein-market/,20,True,True,False
gen z online shopping,60,28,43,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,20,True,True,False
fragrance trends 2024,50,2,,1,https://www.mintel.com/insights/beauty-and-personal-care/make-sense-of-scents-current-and-future-fragrance-trends/,20,True,True,False
uk consumer trends report,150,6,,2,https://store.mintel.com/report/uk-consumer-trends-attitudes-and-spending-habits-for-the-home-market-report,19,True,True,False
gen z buying habits,150,45,142,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,19,True,True,False
gen z shopping trends,150,38,201,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,19,True,True,False
non-alcoholic beverage market,50,32,,1,https://www.mintel.com/insights/food-and-drink/non-alcoholic-beverage-trends-in-the-us/,19,True,True,False
rise of non alcoholic drinks,50,12,,1,https://www.mintel.com/insights/food-and-drink/non-alcoholic-beverage-trends-in-the-us/,18,True,True,False
airline market,200,28,22,5,https://store.mintel.com/report/us-airlines-market-report,18,True,True,False
market intelligence company,250,59,431,1,https://www.mintel.com/,18,True,True,False
millennial lifestyle trends,250,3,,6,https://store.mintel.com/report/uk-lifestyles-of-millennials-market-report,18,True,False,False
gen z purchasing habits,50,39,155,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,18,True,True,False
bakery trends 2024,50,0,,1,https://store.mintel.com/report/the-future-of-bread-bakery-and-cakes,18,True,True,False
generation z shopping habits,50,40,158,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,17,True,True,False
market research food industry,50,2,258,1,https://store.mintel.com/industries/food,17,True,True,False
food industry market trends,600,19,362,10,https://www.mintel.com/insights/food-and-drink/,17,True,True,False
plant based food trends,100,18,162,2,https://www.mintel.com/insights/food-and-drink/emerging-trends-in-the-plant-based-industry/,17,True,True,False
consumer trends sustainability,100,42,78,3,https://www.mintel.com/insights/consumer-research/how-important-is-sustainability-to-consumers/,16,True,True,False
foodservice trends,150,5,121,1,https://www.mintel.com/insights/foodservice-industry-trends-insights-for-brands-and-operators/,16,True,True,False
circular fashion,1000,31,37,13,https://www.mintel.com/insights/retail/the-growth-of-circular-and-sustainable-fashion-trends/,16,True,False,False
baby food market,250,7,,8,https://store.mintel.com/industries/food/baby-food-formula,16,True,True,False
sports nutrition trends,100,8,,2,https://www.mintel.com/insights/food-and-drink/growth-opportunities-in-sports-nutrition/,16,True,True,False
what country eats the most chocolate,200,4,,6,https://www.mintel.com/insights/food-and-drink/which-countries-eat-most-chocolate/,16,True,False,False
beauty consumer insights,100,47,162,2,https://www.mintel.com/insights/beauty-and-personal-care/,15,True,True,False
millennial shopping trends,150,23,,3,https://www.mintel.com/insights/consumer-research/millennial-consumer-trends/,15,True,True,False
gen z shopping,150,39,242,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,15,True,True,False
gen z consumer trends,100,38,192,2,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,15,True,True,False
flavor innovation,150,0,,4,https://www.mintel.com/press-centre/future-of-flavour-innovation-2025/,15,True,True,False
gen z buying behaviour,100,35,153,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,14,True,True,False
protein trends,200,18,,6,https://www.mintel.com/insights/food-and-drink/from-steaks-to-shakes-understanding-the-us-protein-market/,14,True,True,False
household cleaners market,150,12,,4,https://store.mintel.com/report/household-cleaners-market-dynamics,14,True,True,False
non alcoholic beverage trends,100,17,9,3,https://www.mintel.com/insights/food-and-drink/non-alcoholic-beverage-trends-in-the-us/,14,True,True,False
flavored water market,150,11,,4,https://store.mintel.com/report/us-still-and-sparkling-waters-market-report,14,True,True,False
personal care market trends,150,25,,4,https://www.mintel.com/insights/beauty-and-personal-care/,14,True,True,False
pet food market report,150,22,914,5,https://store.mintel.com/report/uk-pet-food-market-report,14,True,True,False
smart home device market,100,47,,7,https://www.mintel.com/insights/technology/the-rise-of-smart-home-technology/,13,True,True,False
market research insurance,100,0,379,4,https://store.mintel.com/industries/financial-services/insurance,13,True,True,False
fragrance trends,150,10,36,1,https://www.mintel.com/insights/beauty-and-personal-care/make-sense-of-scents-current-and-future-fragrance-trends/,13,True,True,False
pet trends,80,4,24,1,https://www.mintel.com/insights/household/pet-industry-trends/,13,True,True,False
which country eats the most chocolate,150,2,,6,https://www.mintel.com/insights/food-and-drink/which-countries-eat-most-chocolate/,13,True,False,False
fashion circular economy,90,21,98,3,https://www.mintel.com/insights/retail/the-growth-of-circular-and-sustainable-fashion-trends/,13,True,False,False
what country consumes the most chocolate,150,3,,5,https://www.mintel.com/insights/food-and-drink/which-countries-eat-most-chocolate/,12,True,False,False
beauty industry research,100,39,243,3,https://www.mintel.com/insights/beauty-and-personal-care/,12,True,True,False
vitamin trends,150,23,35,4,https://store.mintel.com/report/the-future-of-vitamins-minerals-and-supplements,12,True,True,False
future of fashion,200,12,26,7,https://www.mintel.com/insights/retail/the-growth-of-circular-and-sustainable-fashion-trends/,12,True,False,False
gen z products,100,12,,4,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,12,True,True,False
loyalty program retail,150,28,127,5,https://www.mintel.com/insights/retail/loyalty-programmes-how-retail-brands-are-driving-value-amid-inflation/,12,True,True,False
gen z shopping behavior,60,40,193,1,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,12,True,True,False
health and wellness consumer trends,100,26,,1,https://www.mintel.com/insights/consumer-research/health-conscious-consumer-trends-drive-cpg-market-innovation/,12,True,True,False
all snacks,250,33,26,1,https://store.mintel.com/industries/food/snacks,12,True,True,True
back to school retail trends,100,5,,2,https://store.mintel.com/report/us-back-to-school-shopping-market-report,12,True,True,False
what consumers care about,250,31,,7,https://www.mintel.com/insights/consumer-research/how-important-is-sustainability-to-consumers/,12,True,True,False
marketing intelligence report,300,17,480,10,https://www.mintel.com/,12,True,True,False
beauty consumer trends,150,25,,5,https://www.mintel.com/insights/beauty-and-personal-care/,12,True,True,False
gaming industry trends,200,55,193,7,https://store.mintel.com/report/us-gaming-trends-market-report,11,True,False,False
gen z product trends,100,39,291,5,https://www.mintel.com/insights/retail/gen-z-online-shopping-behaviour-and-trends-what-brands-need-to-know/,11,True,True,False
circular fashion economy,200,13,1888,1,https://www.mintel.com/insights/retail/the-growth-of-circular-and-sustainable-fashion-trends/,11,True,False,False
