keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
what is the longest river in the world,10000,3,2,1,https://www.statista.com/statistics/262927/the-ten-longest-rivers-on-earth/,343,True,False,False
most popular social media platforms,2400,28,44,4,https://www.statista.com/statistics/272014/global-social-networks-ranked-by-number-of-users/,341,True,True,False
safest country in the world,10000,58,2,5,https://www.statista.com/chart/4069/the-safest-places-to-travel-in-the-world/,325,True,False,False
life expectancy in u.s. by gender,9400,60,40,10,https://www.statista.com/statistics/263736/life-expectancy-of-women-in-the-united-states/,321,True,False,False
coffee insights,2700,6,,3,https://www.statista.com/outlook/cmo/hot-drinks/coffee/worldwide/,316,True,True,False
what state has the most school shootings,2600,67,,3,https://www.statista.com/statistics/971506/number-k-12-school-shootings-us-state/,312,True,False,False
top universities in the world,58000,78,200,6,https://www.statista.com/chart/19324/best-universities-in-the-world/,311,True,True,False
most populated countries,20000,54,263,5,https://www.statista.com/chart/29853/the-worlds-most-populous-countries-since-1950/,309,True,False,False
open carry states,7100,13,2,4,https://www.statista.com/chart/20047/gun-carry-laws-in-us-states/,308,True,False,False
who's the richest person in the world,25000,77,3,9,https://www.statista.com/statistics/272047/top-25-global-billionaires/,308,True,False,False
how many palestinians have died,15000,60,,11,https://www.statista.com/statistics/1616501/monthly-gaza-fatalities-injuries/,306,True,False,False
韩国时尚市场报告2024,2100,2,,2,https://www.statista.com/outlook/emo/fashion/south-korea,304,True,True,False
most popular sport in the world,14000,5,7,6,https://www.statista.com/chart/10042/the-most-popular-spectator-sports-worldwide/,300,True,False,False
how many registered voters in the united states,2900,68,195,2,https://www.statista.com/statistics/273743/number-of-registered-voters-in-the-united-states/,297,True,False,False
car reliability ratings,2300,57,44,2,https://www.statista.com/chart/23586/average-reliability-scores-for-new-cars/,296,True,True,False
largest tech companies by revenue 2024,4900,56,,1,https://www.statista.com/topics/4213/google-apple-facebook-amazon-and-microsoft-gafam/,293,True,False,False
fastest growing companies,450,17,142,1,https://rankings.statista.com/en/fastest-growing-companies/rankings/fastest-growing-companies-the-americas-2026/,291,True,True,False
how many ukrainians have died in the war,2500,67,,1,https://www.statista.com/statistics/1293492/ukraine-war-casualties/,290,True,False,False
states with most mass shootings,700,31,,1,https://www.statista.com/statistics/811541/mass-shootings-in-the-us-by-state/,285,True,False,False
how many white people in the united states,3000,69,148,5,https://www.statista.com/statistics/183489/population-of-the-us-by-ethnicity-since-2000/,281,True,False,False
oil production by state,400,24,662,1,https://www.statista.com/statistics/714376/crude-oil-production-by-us-state/,274,True,False,False
biggest economies in the world,4400,85,3,6,https://www.statista.com/chart/22256/biggest-economies-in-the-world-timeline/,271,True,False,False
top hospitals in the world,1900,32,810,5,https://rankings.statista.com/en/healthcare/rankings/best-hospitals-world-2026-us/,271,True,True,False
largest economies in the world,7300,83,19,5,https://www.statista.com/chart/22256/biggest-economies-in-the-world-timeline/,263,True,False,False
ecommerce statistics,600,83,211,2,https://www.statista.com/topics/871/online-shopping/,262,True,False,False
voting eligible population number,2200,0,,3,https://www.statista.com/,258,True,False,False
wealthiest people in the world,5400,79,1,8,https://www.statista.com/statistics/272047/top-25-global-billionaires/,253,True,False,False
ron desantis approval rating,32000,2,,15,https://www.statista.com/statistics/1307107/favorability-ron-desantis-us/,252,True,False,False
who is the richest man in the world,13000,78,2,9,https://www.statista.com/statistics/272047/top-25-global-billionaires/,251,True,False,False
top 10 richest person in world,5200,0,1,8,https://www.statista.com/,250,True,False,False
meditation market,4100,17,,7,https://www.statista.com/outlook/hmo/digital-health/digital-fitness-well-being/health-wellness-coaching/meditation-apps/worldwide/,249,True,True,False
top 10 richest people in the world,6300,78,1,1,https://www.statista.com/statistics/272047/top-25-global-billionaires/,241,True,False,False
mass shootings per year,1600,76,,3,https://www.statista.com/statistics/811487/number-of-mass-shootings-in-the-us/,232,True,False,False
most popular social media,2000,71,98,4,https://www.statista.com/statistics/272014/global-social-networks-ranked-by-number-of-users/,231,True,False,False
zodiac years,3600,77,2,1,https://www.statista.com/chart/16907/chinese-zodiac-signs-and-birth-years/,231,True,False,False
metric vs imperial,8500,11,3,2,https://www.statista.com/chart/18300/countries-using-the-metric-or-the-imperial-system/,229,True,False,False
dach region,2000,5,,1,https://www.statista.com/topics/4623/dach-countries/,222,True,False,False
hospital ranking world,1700,35,,4,https://rankings.statista.com/en/healthcare/rankings/best-hospitals-world-2026-us/,221,True,True,False
most used social media,800,88,22,1,https://www.statista.com/statistics/272014/global-social-networks-ranked-by-number-of-users/,216,True,False,False
least populated state in the us,4700,56,5,1,https://www.statista.com/statistics/183497/population-in-the-federal-states-of-the-us/,215,True,False,False
socialist countries,20000,3,30,5,https://www.statista.com/chart/23116/share-of-americans-considering-countries-socialist/,214,True,False,False
largest cities in the world,15000,50,4,4,https://www.statista.com/chart/13966/the-worlds-largest-cities-by-area/,214,True,False,False
us population by race,5300,60,13,5,https://www.statista.com/statistics/183489/population-of-the-us-by-ethnicity-since-2000/,207,True,False,False
mass shootings by race,700,67,,2,https://www.statista.com/statistics/476456/mass-shootings-in-the-us-by-shooter-s-race/,205,True,False,False
biggest lake in the world,5400,4,1,1,https://www.statista.com/statistics/262931/the-ten-largest-lakes-in-the-world/,202,True,False,False
how many americans died in afghanistan,35000,53,,13,https://www.statista.com/statistics/262894/western-coalition-soldiers-killed-in-afghanistan/,199,True,False,False
happiest countries in the world,11000,74,9,4,https://www.statista.com/chart/17428/happiest-countries-in-the-world/,194,True,False,False
data breach statistics,1600,87,542,1,https://www.statista.com/topics/11610/data-breaches-worldwide/,193,True,False,False
what country has the most gay people,500,62,148,1,https://www.statista.com/chart/30142/respondents-who-identify-as-lgbt--in-selected-countries/,193,True,False,False
longest river in the world,22000,3,1,5,https://www.statista.com/statistics/262927/the-ten-longest-rivers-on-earth/,191,True,False,False
mass shooters by race,700,57,,1,https://www.statista.com/statistics/476456/mass-shootings-in-the-us-by-shooter-s-race/,190,True,False,False
how many single family homes in the us,500,33,43,1,https://www.statista.com/topics/5144/single-family-homes-in-the-us/,189,True,False,False
online shopping statistics,250,81,147,1,https://www.statista.com/topics/871/online-shopping/,188,True,False,False
squatters rights,37000,6,1,6,https://www.statista.com/chart/32012/squatters-rights-by-state/,187,True,False,False
who is the richest person in the world,101000,77,2,9,https://www.statista.com/statistics/272047/top-25-global-billionaires/,186,True,False,False
desantis approval rating,23000,1,307,16,https://www.statista.com/statistics/1307107/favorability-ron-desantis-us/,185,True,False,False
richest people,3100,78,7,7,https://www.statista.com/statistics/201426/the-richest-people-in-america/,183,True,False,False
which party does the most gerrymandering,1900,34,141,1,https://www.statista.com/chart/34944/states-given-poor-score-for-partisan-fairness/,182,True,False,False
registered voters in 2020,1200,37,,2,https://www.statista.com/statistics/273743/number-of-registered-voters-in-the-united-states/,179,True,False,False
how many nukes does the us have,6200,54,53,3,https://www.statista.com/chart/8301/the-countries-holding-the-worlds-nuclear-arsenal/,178,True,False,False
age of presidents when elected,450,18,,2,https://www.statista.com/statistics/1035542/age-incumbent-us-presidents-first-taking-office/,178,True,False,False
best universities in the world,11000,87,200,7,https://www.statista.com/chart/19324/best-universities-in-the-world/,177,True,False,False
how many people are registered to vote,1600,59,,2,https://www.statista.com/statistics/273743/number-of-registered-voters-in-the-united-states/,177,True,False,False
most reliable cars,44000,12,34,6,https://www.statista.com/chart/23586/average-reliability-scores-for-new-cars/,176,True,True,False
how many billionaires in the us,21000,77,1,8,https://www.statista.com/,175,True,False,False
top 10 richest person in the world,3900,78,4,8,https://www.statista.com/statistics/272047/top-25-global-billionaires/,175,True,False,False
ukraine military size,1700,49,,1,https://www.statista.com/statistics/1296573/russia-ukraine-military-comparison/,173,True,False,False
world's richest man,4800,77,1,7,https://www.statista.com/statistics/272047/top-25-global-billionaires/,171,True,False,False
competitor info,1900,51,514,6,https://www.statista.com/statistics-glossary/definition/403/competitor_analysis/,168,True,True,False
shoe brands,26000,9,54,4,https://www.statista.com/chart/30540/market-share-of-sneaker-brands/,167,True,True,False
justin trudeau approval rating,800,13,,1,https://www.statista.com/statistics/1600839/justin-trudeau-canada-approval-rating/,165,True,False,False
what animal kills the most humans every year,6700,56,97,6,https://www.statista.com/chart/2203/the-worlds-deadliest-animals/,162,True,False,False
